season,weather,temp,humidity,windspeed,count
1,1,49.712,81,0,16
1,1,48.236,80,0,40
1,1,48.236,80,0,32
1,1,49.712,75,0,13
1,1,49.712,75,0,1
1,2,49.712,75,6.0032,1
1,1,48.236,80,0,2
1,1,46.76,86,0,3
1,1,49.712,75,0,8
1,1,55.616,76,0,14
1,1,60.044,76,16.9979,36
1,1,58.568,81,19.0012,56
1,1,62.996,77,19.0012,84
1,2,65.948,72,19.9995,94
1,2,65.948,72,19.0012,106
1,2,64.472,77,19.9995,110
1,2,62.996,82,19.9995,93
1,2,64.472,82,19.0012,67
1,3,62.996,88,16.9979,35
1,3,62.996,88,16.9979,37
1,2,61.52,87,16.9979,36
1,2,61.52,87,12.998,34
1,2,61.52,94,15.0013,28
1,2,65.948,88,19.9995,39
1,2,65.948,88,19.9995,17
1,2,64.472,94,16.9979,17
1,2,62.996,100,19.0012,9
1,2,65.948,94,12.998,6
1,2,65.948,94,12.998,3
1,3,62.996,77,19.9995,2
1,2,61.52,76,12.998,1
1,3,61.52,71,15.0013,8
1,2,60.044,76,15.0013,20
1,2,58.568,81,15.0013,53
1,2,58.568,71,16.9979,70
1,2,58.568,66,19.9995,93
1,2,58.568,66,8.9981,75
1,3,58.568,76,12.998,59
1,3,57.092,81,11.0014,74
1,3,57.092,71,11.0014,76
1,1,57.092,57,12.998,65
1,2,58.568,46,22.0028,53
1,1,55.616,42,30.0026,30
1,1,54.14,39,23.9994,22
1,1,51.188,44,22.0028,31
1,1,49.712,44,19.9995,9
1,1,48.236,47,11.0014,8
1,1,48.236,44,23.9994,5
1,1,46.76,44,27.9993,2
1,1,43.808,47,26.0027,1
1,1,43.808,47,19.0012,3
1,1,42.332,50,26.0027,30
1,1,42.332,50,12.998,64
1,1,42.332,50,19.0012,154
1,1,43.808,43,26.0027,88
1,1,45.284,43,16.9979,44
1,1,46.76,40,22.0028,51
1,1,48.236,35,19.9995,61
1,1,49.712,35,19.0012,61
1,1,51.188,30,19.0012,77
1,1,51.188,30,16.9979,72
1,1,51.188,30,16.9979,76
1,1,49.712,30,15.0013,157
1,1,49.712,32,7.0015,157
1,1,46.76,47,0,110
1,1,46.76,47,7.0015,52
1,1,45.284,64,8.9981,52
1,1,42.332,69,8.9981,20
1,1,45.284,55,7.0015,12
1,1,43.808,55,7.0015,5
1,1,43.808,59,7.0015,2
1,1,42.332,63,8.9981,1
1,1,42.332,63,6.0032,2
1,1,40.856,68,7.0015,4
1,1,40.856,74,7.0015,36
1,1,40.856,74,8.9981,94
1,1,42.332,69,11.0014,179
1,1,43.808,64,15.0013,100
1,2,43.808,69,22.0028,42
1,1,48.236,51,19.9995,57
1,1,48.236,51,11.0014,78
1,1,49.712,56,12.998,97
1,1,51.188,52,15.0013,63
1,1,52.664,52,16.9979,65
1,1,54.14,49,16.9979,83
1,1,52.664,48,15.0013,212
1,1,51.188,48,12.998,182
1,1,49.712,48,7.0015,112
1,1,49.712,48,7.0015,54
1,1,48.236,64,0,48
1,1,48.236,64,6.0032,35
1,1,46.76,69,6.0032,11
1,1,46.76,64,0,6
1,1,43.808,74,6.0032,6
1,1,43.808,74,6.0032,2
1,1,49.712,48,15.0013,2
1,1,48.236,47,11.0014,3
1,1,46.76,47,15.0013,33
1,1,45.284,43,12.998,88
1,1,46.76,40,19.9995,195
1,1,48.236,37,22.0028,115
1,1,48.236,37,22.0028,57
1,1,51.188,33,22.0028,46
1,1,51.188,33,22.0028,79
1,1,52.664,30,19.9995,71
1,1,54.14,28,12.998,62
1,1,54.14,28,12.998,62
1,1,54.14,28,6.0032,89
1,1,49.712,38,12.998,190
1,1,49.712,38,8.9981,169
1,1,49.712,38,7.0015,132
1,1,48.236,47,11.0014,89
1,1,46.76,51,12.998,43
1,1,45.284,55,8.9981,42
1,1,46.76,47,0,19
1,1,45.284,55,0,11
1,1,43.808,64,0,4
1,1,43.808,64,0,2
1,2,43.808,64,6.0032,1
1,2,42.332,69,6.0032,4
1,2,42.332,63,7.0015,36
1,2,43.808,59,0,95
1,1,43.808,59,0,219
1,2,45.284,51,0,122
1,1,46.76,47,0,45
1,1,48.236,44,6.0032,59
1,1,51.188,35,0,84
1,1,51.188,35,7.0015,67
1,1,52.664,36,11.0014,70
1,1,52.664,36,0,62
1,1,51.188,38,11.0014,86
1,1,48.236,51,11.0014,172
1,1,48.236,51,8.9981,163
1,1,48.236,55,6.0032,112
1,1,46.76,51,11.0014,69
1,2,48.236,55,15.0013,48
1,2,48.236,51,19.0012,52
1,2,46.76,59,12.998,23
1,2,46.76,64,12.998,17
1,2,46.76,69,15.0013,7
1,2,46.76,69,15.0013,1
1,2,46.76,69,8.9981,1
1,3,48.236,55,0,5
1,2,46.76,69,0,34
1,1,46.76,69,8.9981,84
1,1,46.76,51,16.9979,210
1,1,46.76,47,19.9995,134
1,1,48.236,37,22.0028,63
1,2,46.76,40,15.0013,67
1,2,46.76,37,16.9979,59
1,2,46.76,37,19.0012,73
1,2,46.76,40,16.9979,50
1,2,46.76,37,11.0014,72
1,2,46.76,37,11.0014,87
1,2,46.76,37,0,187
1,1,46.76,40,6.0032,123
1,1,43.808,55,6.0032,95
1,1,45.284,47,7.0015,51
1,1,45.284,47,8.9981,39
1,2,45.284,43,11.0014,36
1,2,45.284,51,11.0014,15
1,2,45.284,51,11.0014,25
1,2,45.284,55,6.0032,16
1,2,45.284,55,0,16
1,3,45.284,55,11.0014,7
